Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201108,August 2011,2,0,1,Imports,699,India,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,15177111,,,0
HS,2011,201108,August 2011,2,0,1,Imports,699,India,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,1161376497,,,0
HS,2011,201108,August 2011,4,0,1,Imports,699,India,,0,World,,,,,,,,,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals",,,,,,,,,190977399,,,0
HS,2011,201108,August 2011,6,1,1,Imports,699,India,,0,World,,,,,,,,,870322,"Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1000cc but not exceeding 1500cc",,,,,,,,,23704,,,0
HS,2011,201108,August 2011,6,1,1,Imports,699,India,,0,World,,,,,,,,,870332,"Vehicles; compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity exceeding 1500cc but not exceeding 2500cc",,,,,,,,,7057643,,,0
HS,2011,201108,August 2011,4,0,2,Exports,699,India,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,913683,,582894,,,0
HS,2011,201108,August 2011,2,0,2,Exports,699,India,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,322999269,,,0
HS,2011,201108,August 2011,2,0,2,Exports,699,India,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,116451098,,,0
HS,2011,201108,August 2011,6,1,2,Exports,699,India,,0,World,,,,,,,,,170111,"Sugars; cane sugar, raw, in solid form, not containing added flavouring or colouring matter",,,,,,,31818347,,23547437,,,0
HS,2011,201108,August 2011,6,1,2,Exports,699,India,,0,World,,,,,,,,,170191,"Sucrose; chemically pure, containing added flavouring or colouring matter, in solid form",,,,,,,1905566,,1395191,,,0
HS,2011,201108,August 2011,6,1,2,Exports,699,India,,0,World,,,,,,,,,170199,"Sucrose; chemically pure, not containing added flavouring or colouring matter, in solid form",,,,,,,187172675,,137984727,,,0
HS,2011,201108,August 2011,4,0,2,Exports,699,India,,0,World,,,,,,,,,2523,"Portland cement, aluminous cement (""ciment fondu""), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",,,,,,,220467208,,11814961,,,0
HS,2011,201108,August 2011,6,1,2,Exports,699,India,,0,World,,,,,,,,,252310,Cement clinkers (whether or not coloured),,,,,,,64529670,,2538776,,,0
HS,2011,201108,August 2011,4,0,2,Exports,699,India,,0,World,,,,,,,,,2616,Precious metal ores and concentrates,,,,,,,80000,,14068,,,0
HS,2011,201108,August 2011,4,0,2,Exports,699,India,,0,World,,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",,,,,,,25673000,,1938616,,,0
HS,2011,201108,August 2011,4,0,2,Exports,699,India,,0,World,,,,,,,,,2704,"Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon",,,,,,,39022000,,16672366,,,0
HS,2011,201108,August 2011,2,0,2,Exports,699,India,,0,World,,,,,,,,,31,Fertilizers,,,,,,,,,3717173,,,0
HS,2011,201108,August 2011,4,0,2,Exports,699,India,,0,World,,,,,,,,,3208,"Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium",,,,,,,555871,,1991810,,,0
HS,2011,201108,August 2011,2,0,2,Exports,699,India,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,659220942,,,0
HS,2011,201108,August 2011,4,0,2,Exports,699,India,,0,World,,,,,,,,,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals",,,,,,,,,18924958,,,0
HS,2011,201108,August 2011,6,1,2,Exports,699,India,,0,World,,,,,,,,,870332,"Vehicles; compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity exceeding 1500cc but not exceeding 2500cc",,,,,,,,,5488186,,,0
HS,2011,201108,August 2011,6,1,2,Exports,699,India,,0,World,,,,,,,,,870322,"Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1000cc but not exceeding 1500cc",,,,,,,,,151470932,,,0
HS,2011,201108,August 2011,4,0,1,Imports,699,India,,0,World,,,,,,,,,3208,"Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium",,,,,,,1806484,,10841498,,,0
HS,2011,201108,August 2011,2,0,1,Imports,699,India,,0,World,,,,,,,,,31,Fertilizers,,,,,,,,,767156220,,,0
